startIp,endIp,country,region,city,zip,latitude,longitude,metroCode,areaCode,timeZone,ISP,organization,netspeed,domain
4.2.130.0,4.2.130.255,"US","CO","Englewood","",39.6135,-104.9034,751,303,America/Denver,Level 3 Communications,Level 3 Communications,dial,genuity.net
4.2.131.0,4.2.143.255,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,genuity.net
4.2.144.0,4.2.144.31,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,
4.2.144.32,4.2.144.47,"US","MA","Boston","02114",42.3616,-71.0674,506,617,America/New_York,Level 3 Communications,International Generating Co. (Intergen),corp,
4.2.144.48,4.2.144.223,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,
4.2.144.224,4.2.144.231,"US","VA","Arlington","22202",38.8600,-77.0533,511,703,America/New_York,Level 3 Communications,Drug Enforcement Adm,corp,
4.2.144.232,4.2.144.239,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,
4.2.144.240,4.2.144.247,"US","TX","Southlake","76092",32.9516,-97.1515,623,817,America/Chicago,Level 3 Communications,Floors,corp,
4.2.144.248,4.2.144.255,"US","OH","Cincinnati","45202",39.1097,-84.5046,515,513,America/New_York,Level 3 Communications,US Dept of Treasury - TIGTA,corp,
4.2.145.0,4.2.145.159,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,
4.2.145.160,4.2.145.191,"US","TX","Irving","75038",32.8791,-96.9898,623,972,America/Chicago,Level 3 Communications,Verizon/SixContinents Hotels,corp,
4.2.145.192,4.2.145.223,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,
4.2.145.224,4.2.145.239,"US","TX","League City","77573",29.5075,-95.0895,618,281,America/Chicago,Level 3 Communications,City of League City,corp,
4.2.145.240,4.2.146.95,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,
4.2.146.96,4.2.146.127,"US","TX","Irving","75038",32.8791,-96.9898,623,972,America/Chicago,Level 3 Communications,Verizon/SixContinents Hotels,corp,
4.2.146.128,4.2.146.255,"US","TX","Houston","77024",29.7686,-95.5044,618,713,America/Chicago,Level 3 Communications,Houstonian Campus,corp,
4.2.147.0,4.2.151.255,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,
4.2.152.0,4.2.152.255,"US","CA","San Jose","95134",37.4250,-121.9460,807,408,America/Los_Angeles,Level 3 Communications,Selectica,corp,
4.2.153.0,4.2.153.63,"US","CA","San Jose","",37.3073,-121.8568,807,408,America/Los_Angeles,Level 3 Communications,Level 3 Communications,dial,
4.2.153.64,4.2.153.127,"US","CA","San Jose","",37.3073,-121.8568,807,408,America/Los_Angeles,Level 3 Communications,Paramit Corporation,corp,
4.2.153.128,4.2.153.255,"US","CA","San Jose","",37.3073,-121.8568,807,408,America/Los_Angeles,Level 3 Communications,PORTAL PLAYER,corp,
4.2.154.0,4.2.160.159,"US","","","",38.0000,-97.0000,,,America/Chicago,Level 3 Communications,Level 3 Communications,dial,
4.2.160.160,4.2.160.191,"US","NY","Buffalo","14225",42.9264,-78.7479,514,716,America/New_York,Level 3 Communications,Creditors Interchange,corp,
